edge_id,node_from,node_to
167046967#2,1784518734,1784518712
167046968#0,1783433694,1783433700
167046968#1,1783433700,3632705438
167046968#2,3632705438,1784529290
167046968#3,1784529290,1784529293
167046969#0,10248266806,9889278711
167046969#1,9889278711,3632714949
167046969#2,3632714949,1784566628
167046969#3,1784566628,3240719206
167046969#4,3240719206,1784529288
167046969#5,1784529288,1784529286
167046970#0,1784529282,9769092889
167046970#1,9769092889,1784566649
167046970#2,1784566649,6380078031
167046970#3,6380078031,6380078026
167046970#4,6380078026,323131066
167046970#5,323131066,11140317232
167046970#6,11140317232,1784529291
167047659#0,9889608757,1784529285
167047659#1,1784529285,1784529287
167047660,428785895,428785853
167048052#0,1784529293,1784540184
167048052#1,1784540184,9889608758
167048966#1,429410609,1784566643
167049315#0,1784529286,1784551833
167049315#1,1784551833,4483503356
167049315#2,4483503356,4483503354
167049315#3,4483503354,3632714956
167049315#4,3632714956,11693513535
167049315#5,11693513535,1783433672
167049315#6,1783433672,1783433674
